"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"2"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"3"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Renault"
"4"	"Damon"	"Hill"	"HIL"	"Arrows Yamaha"
"5"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"6"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"7"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"8"	"Gerhard"	"Berger"	"BER"	"Benetton Renault"
"9"	"Olivier"	"Panis"	"PAN"	"Prost Mugen Honda"
"10"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"11"	"Jan"	"Magnussen"	"MAG"	"Stewart Ford"
"12"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"13"	"Pedro"	"Diniz"	"DIN"	"Arrows Yamaha"
"14"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"15"	"Shinji"	"Nakano"	"NAK"	"Prost Mugen Honda"
"16"	"Ralf"	"Schumacher"	"RSC"	"Jordan Peugeot"
"17"	"Giancarlo"	"Fisichella"	"FIS"	"Jordan Peugeot"
"18"	"Norberto"	"Fontana"	"FON"	"Sauber Petronas"
"19"	"Ukyo"	"Katayama"	"KAT"	"Minardi Hart"
"20"	"Tarso"	"Marques"	"MAR"	"Minardi Hart"
"21"	"Mika"	"Salo"	"SAL"	"Tyrrell Ford"
"22"	"Jos"	"Verstappen"	"VER"	"Tyrrell Ford"
