"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"2"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"3"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"4"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"5"	"Gerhard"	"Berger"	"BER"	"Benetton Renault"
"6"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Renault"
"7"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"8"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"9"	"Giancarlo"	"Fisichella"	"FIS"	"Jordan Peugeot"
"10"	"Olivier"	"Panis"	"PAN"	"Prost Mugen Honda"
"11"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"12"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"13"	"Ralf"	"Schumacher"	"RSC"	"Jordan Peugeot"
"14"	"Jan"	"Magnussen"	"MAG"	"Stewart Ford"
"15"	"Shinji"	"Nakano"	"NAK"	"Prost Mugen Honda"
"16"	"Pedro"	"Diniz"	"DIN"	"Arrows Yamaha"
"17"	"Damon"	"Hill"	"HIL"	"Arrows Yamaha"
"18"	"Gianni"	"Morbidelli"	"MOR"	"Sauber Petronas"
"19"	"Ukyo"	"Katayama"	"KAT"	"Minardi Hart"
"20"	"Tarso"	"Marques"	"MAR"	"Minardi Hart"
"21"	"Jos"	"Verstappen"	"VER"	"Tyrrell Ford"
"22"	"Mika"	"Salo"	"SAL"	"Tyrrell Ford"
