"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"2"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"3"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Renault"
"4"	"Giancarlo"	"Fisichella"	"FIS"	"Jordan Peugeot"
"5"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"6"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"7"	"Gerhard"	"Berger"	"BER"	"Benetton Renault"
"8"	"Ralf"	"Schumacher"	"RSC"	"Jordan Peugeot"
"9"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"10"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"11"	"Olivier"	"Panis"	"PAN"	"Prost Mugen Honda"
"12"	"Jan"	"Magnussen"	"MAG"	"Stewart Ford"
"13"	"Damon"	"Hill"	"HIL"	"Arrows Yamaha"
"14"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"15"	"Pedro"	"Diniz"	"DIN"	"Arrows Yamaha"
"16"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"17"	"Shinji"	"Nakano"	"NAK"	"Prost Mugen Honda"
"18"	"Tarso"	"Marques"	"MAR"	"Minardi Hart"
"19"	"Gianni"	"Morbidelli"	"MOR"	"Sauber Petronas"
"20"	"Mika"	"Salo"	"SAL"	"Tyrrell Ford"
"21"	"Jos"	"Verstappen"	"VER"	"Tyrrell Ford"
"22"	"Ukyo"	"Katayama"	"KAT"	"Minardi Hart"
