"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"2"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"3"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"4"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"5"	"Heinz-Harald"	"Frentzen"	"FRE"	"Jordan Mugen Honda"
"6"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"7"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Playlife"
"8"	"Ralf"	"Schumacher"	"RSC"	"Williams Supertec"
"9"	"Damon"	"Hill"	"HIL"	"Jordan Mugen Honda"
"10"	"Alexander"	"Wurz"	"WUR"	"Benetton Playlife"
"11"	"Jacques"	"Villeneuve"	"VIL"	"BAR Supertec"
"12"	"Jarno"	"Trulli"	"TRU"	"Prost Peugeot"
"13"	"Johnny"	"Herbert"	"HER"	"Stewart Ford"
"14"	"Pedro"	"Diniz"	"DIN"	"Sauber Petronas"
"15"	"Alessandro"	"Zanardi"	"ZAN"	"Williams Supertec"
"16"	"Jean"	"Alesi"	"ALE"	"Sauber Petronas"
"17"	"Toranosuke"	"Takagi"	"TAK"	"Arrows"
"18"	"Pedro"	"de la Rosa"	"DLR"	"Arrows"
"19"	"Ricardo"	"Zonta"	"ZON"	"BAR Supertec"
"20"	"Olivier"	"Panis"	"PAN"	"Prost Peugeot"
"21"	"Luca"	"Badoer"	"BAD"	"Minardi Ford"
"22"	"Marc"	"Gene"	"GEN"	"Minardi Ford"
