"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"2"	"Juan Pablo"	"Montoya"	"MOY"	"Williams BMW"
"3"	"Ralf"	"Schumacher"	"RSC"	"Williams BMW"
"4"	"Rubens"	"Barrichello"	"BAR"	"Ferrari"
"5"	"Jarno"	"Trulli"	"TRU"	"Jordan Honda"
"6"	"Nick"	"Heidfeld"	"HEI"	"Sauber Petronas"
"7"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"8"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"9"	"Kimi"	"Räikkönen"	"RAI"	"Sauber Petronas"
"10"	"Olivier"	"Panis"	"PAN"	"BAR Honda"
"11"	"Heinz-Harald"	"Frentzen"	"FRE"	"Jordan Honda"
"12"	"Jacques"	"Villeneuve"	"VIL"	"BAR Honda"
"13"	"Eddie"	"Irvine"	"IRV"	"Jaguar Cosworth"
"14"	"Pedro"	"de la Rosa"	"DLR"	"Jaguar Cosworth"
"15"	"Enrique"	"Bernoldi"	"BER"	"Arrows Asiatech"
"16"	"Jos"	"Verstappen"	"VER"	"Arrows Asiatech"
"17"	"Luciano"	"Burti"	"BUR"	"Prost Acer"
"18"	"Fernando"	"Alonso"	"ALO"	"Minardi European"
"19"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Renault"
"20"	"Jean"	"Alesi"	"ALE"	"Prost Acer"
"21"	"Jenson"	"Button"	"BUT"	"Benetton Renault"
"22"	"Tarso"	"Marques"	"MAR"	"Minardi European"
