"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Fernando"	"Alonso"	"ALO"	"Renault"
"2"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"3"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"4"	"Nick"	"Heidfeld"	"HEI"	"Williams BMW"
"5"	"Mark"	"Webber"	"WEB"	"Williams BMW"
"6"	"Ralf"	"Schumacher"	"RSC"	"Toyota"
"7"	"Christian"	"Klien"	"KLI"	"RBR Cosworth"
"8"	"Pedro"	"de la Rosa"	"DLR"	"McLaren Mercedes"
"9"	"Kimi"	"Räikkönen"	"RAI"	"McLaren Mercedes"
"10"	"Giancarlo"	"Fisichella"	"FIS"	"Renault"
"11"	"Jenson"	"Button"	"BUT"	"BAR Honda"
"12"	"Felipe"	"Massa"	"MAS"	"Sauber Petronas"
"13"	"Takuma"	"Sato"	"SAT"	"BAR Honda"
"14"	"David"	"Coulthard"	"COU"	"RBR Cosworth"
"15"	"Jacques"	"Villeneuve"	"VIL"	"Sauber Petronas"
"16"	"Tiago"	"Monteiro"	"MON"	"Jordan Toyota"
"17"	"Narain"	"Karthikeyan"	"KAR"	"Jordan Toyota"
"18"	"Christijan"	"Albers"	"ALB"	"Minardi Cosworth"
"19"	"Patrick"	"Friesacher "	"FRI"	"Minardi Cosworth"
"20"	"Rubens"	"Barrichello"	"BAR"	"Ferrari"
