"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Fernando"	"Alonso"	"ALO"	"Renault"
"2"	"Giancarlo"	"Fisichella"	"FIS"	"Renault"
"3"	"Rubens"	"Barrichello"	"BAR"	"Honda"
"4"	"Jenson"	"Button"	"BUT"	"Honda"
"5"	"Kimi"	"Räikkönen"	"RAI"	"McLaren Mercedes"
"6"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"7"	"Pedro"	"de la Rosa"	"DLR"	"McLaren Mercedes"
"8"	"Nick"	"Heidfeld"	"HEI"	"Sauber BMW"
"9"	"Robert"	"Kubica"	"KUB"	"Sauber BMW"
"10"	"Robert"	"Doornbos"	"DOO"	"RBR Ferrari"
"11"	"Scott"	"Speed"	"SPE"	"STR Cosworth"
"12"	"David"	"Coulthard"	"COU"	"RBR Ferrari"
"13"	"Vitantonio"	"Liuzzi"	"LIU"	"STR Cosworth"
"14"	"Mark"	"Webber"	"WEB"	"Williams Cosworth"
"15"	"Nico"	"Rosberg"	"ROS"	"Williams Cosworth"
"16"	"Ralf"	"Schumacher"	"RSC"	"Toyota"
"17"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"18"	"Tiago"	"Monteiro"	"MON"	"MF1 Toyota"
"19"	"Sakon"	"Yamamoto"	"YAM"	"Super Aguri Honda"
"20"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"21"	"Takuma"	"Sato"	"SAT"	"Super Aguri Honda"
"22"	"Christijan"	"Albers"	"ALB"	"MF1 Toyota"
