"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"2"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"3"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"4"	"Robert"	"Kubica"	"KUB"	"Sauber BMW"
"5"	"Nick"	"Heidfeld"	"HEI"	"Sauber BMW"
"6"	"Mark"	"Webber"	"WEB"	"Red Bull Renault"
"7"	"Fernando"	"Alonso"	"ALO"	"Renault"
"8"	"Heikki"	"Kovalainen"	"KOV"	"McLaren Mercedes"
"9"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"10"	"Timo"	"Glock"	"GLO"	"Toyota"
"11"	"Jenson"	"Button"	"BUT"	"Honda"
"12"	"David"	"Coulthard"	"COU"	"Red Bull Renault"
"13"	"Nelson"	"Piquet Jr."	"PIQ"	"Renault"
"14"	"Rubens"	"Barrichello"	"BAR"	"Honda"
"15"	"Sebastian"	"Vettel"	"VET"	"STR Ferrari"
"16"	"Nico"	"Rosberg"	"ROS"	"Williams Toyota"
"17"	"Giancarlo"	"Fisichella"	"FIS"	"Force India Ferrari"
"18"	"Sebastien"	"Bourdais"	"BOU"	"STR Ferrari"
"19"	"Takuma"	"Sato"	"SAT"	"Super Aguri Honda"
"20"	"Adrian"	"Sutil"	"SUT"	"Force India Ferrari"
"21"	"Anthony"	"Davidson"	"DAV"	"Super Aguri Honda"
"22"	"Kazuki"	"Nakajima"	"NAK"	"Williams Toyota"
