"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sebastian"	"Vettel"	"VET"	"RBR Renault"
"2"	"Mark"	"Webber"	"WEB"	"RBR Renault"
"3"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"4"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"5"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"6"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"7"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"8"	"Robert"	"Kubica"	"KUB"	"Renault"
"9"	"Michael"	"Schumacher"	"MSC"	"Mercedes"
"10"	"Rubens"	"Barrichello"	"BAR"	"Williams Cosworth"
"11"	"Nico"	"Hulkenberg"	"HUL"	"Williams Cosworth"
"12"	"Kamui"	"Kobayashi"	"KOB"	"Sauber Ferrari"
"13"	"Nick"	"Heidfeld"	"HEI"	"Sauber Ferrari"
"14"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"15"	"Jaime"	"Alguersuari"	"ALG"	"STR Ferrari"
"16"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"17"	"Vitantonio"	"Liuzzi"	"LIU"	"Force India Mercedes"
"18"	"Jarno"	"Trulli"	"TRU"	"Lotus Cosworth"
"19"	"Timo"	"Glock"	"GLO"	"Virgin Cosworth"
"20"	"Vitaly"	"Petrov"	"PET"	"Renault"
"21"	"Heikki"	"Kovalainen"	"KOV"	"Lotus Cosworth"
"22"	"Lucas"	"di Grassi"	"DIG"	"Virgin Cosworth"
"23"	"Sakon"	"Yamamoto"	"YAM"	"HRT Cosworth"
"24"	"Bruno"	"Senna"	"SEN"	"HRT Cosworth"
