"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Mark"	"Webber"	"WEB"	"RBR Renault"
"2"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"3"	"Sebastian"	"Vettel"	"VET"	"RBR Renault"
"4"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"5"	"Michael"	"Schumacher"	"MSC"	"Mercedes"
"6"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"7"	"Robert"	"Kubica"	"KUB"	"Renault"
"8"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"9"	"Vitaly"	"Petrov"	"PET"	"Renault"
"10"	"Kamui"	"Kobayashi"	"KOB"	"Sauber Ferrari"
"11"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"12"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"13"	"Pedro"	"de la Rosa"	"DLR"	"Sauber Ferrari"
"14"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"15"	"Rubens"	"Barrichello"	"BAR"	"Williams Cosworth"
"16"	"Jaime"	"Alguersuari"	"ALG"	"STR Ferrari"
"17"	"Nico"	"Hulkenberg"	"HUL"	"Williams Cosworth"
"18"	"Vitantonio"	"Liuzzi"	"LIU"	"Force India Mercedes"
"19"	"Jarno"	"Trulli"	"TRU"	"Lotus Cosworth"
"20"	"Heikki"	"Kovalainen"	"KOV"	"Lotus Cosworth"
"21"	"Timo"	"Glock"	"GLO"	"Virgin Cosworth"
"22"	"Bruno"	"Senna"	"SEN"	"HRT Cosworth"
"23"	"Lucas"	"di Grassi"	"DIG"	"Virgin Cosworth"
"24"	"Karun"	"Chandhok"	"CHD"	"HRT Cosworth"
