"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
"2"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"3"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"4"	"Mark"	"Webber"	"WEB"	"Red Bull Racing Renault"
"5"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"6"	"Kimi"	"Räikkönen"	"RAI"	"Lotus Renault"
"7"	"Nico"	"Hulkenberg"	"HUL"	"Sauber Ferrari"
"8"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"9"	"Sergio"	"Perez"	"PER"	"McLaren Mercedes"
"10"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"11"	"Daniel"	"Ricciardo"	"RIC"	"STR Ferrari"
"12"	"Paul"	"di Resta"	"DIR"	"Force India Mercedes"
"13"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"14"	"Jean-Eric"	"Vergne"	"VER"	"STR Ferrari"
"15"	"Valtteri"	"Bottas"	"BOT"	"Williams Renault"
"16"	"Esteban"	"Gutierrez "	"GUT"	"Sauber Ferrari"
"17"	"Romain"	"Grosjean"	"GRO"	"Lotus Renault"
"18"	"Pastor"	"Maldonado"	"MAL"	"Williams Renault"
"19"	"Jules"	"Bianchi"	"BIA"	"Marussia Cosworth"
"20"	"Giedo"	"van der Garde"	"VDG"	"Caterham Renault"
"21"	"Charles"	"Pic"	"PIC"	"Caterham Renault"
"22"	"Max"	"Chilton"	"CHI"	"Marussia Cosworth"
