"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"3"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"4"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"5"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"6"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"7"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"8"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"9"	"Fernando"	"Alonso"	"ALO"	"McLaren Honda"
"10"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
"11"	"Valtteri"	"Bottas"	"BOT"	"Williams Mercedes"
"12"	"Jenson"	"Button"	"BUT"	"McLaren Honda"
"13"	"Esteban"	"Gutierrez "	"GUT"	"Haas Ferrari"
"14"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"15"	"Jolyon"	"Palmer"	"PAL"	"Renault"
"16"	"Pascal"	"Wehrlein"	"WEH"	"MRT Mercedes"
"17"	"Daniil"	"Kvyat"	"KVY"	"Toro Rosso Ferrari"
"18"	"Kevin"	"Magnussen"	"MAG"	"Renault"
"19"	"Felipe"	"Nasr"	"NAS"	"Sauber Ferrari"
"20"	"Esteban"	"Ocon"	"OCO"	"MRT Mercedes"
"21"	"Carlos"	"Sainz"	"SAI"	"Toro Rosso Ferrari"
"22"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
