"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"2"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"3"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"4"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"5"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
"6"	"Daniil"	"Kvyat"	"KVY"	"Toro Rosso Ferrari"
"7"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"8"	"Valtteri"	"Bottas"	"BOT"	"Williams Mercedes"
"9"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"10"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"11"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"12"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"13"	"Fernando"	"Alonso"	"ALO"	"McLaren Honda"
"14"	"Esteban"	"Gutierrez "	"GUT"	"Haas Ferrari"
"15"	"Felipe"	"Nasr"	"NAS"	"Sauber Ferrari"
"16"	"Rio"	"Haryanto"	"HAR"	"MRT Mercedes"
"17"	"Pascal"	"Wehrlein"	"WEH"	"MRT Mercedes"
"18"	"Carlos"	"Sainz"	"SAI"	"Toro Rosso Ferrari"
"19"	"Jenson"	"Button"	"BUT"	"McLaren Honda"
"20"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"21"	"Jolyon"	"Palmer"	"PAL"	"Renault"
"22"	"Kevin"	"Magnussen"	"MAG"	"Renault"
