"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"2"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"3"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"4"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"5"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"6"	"Esteban"	"Ocon"	"OCO"	"Force India Mercedes"
"7"	"Charles"	"Leclerc"	"LEC"	"Sauber Ferrari"
"8"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"9"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"10"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"11"	"Carlos"	"Sainz"	"SAI"	"Renault"
"12"	"Nico"	"Hulkenberg"	"HUL"	"Renault"
"13"	"Sergey"	"Sirotkin"	"SIR"	"Williams Mercedes"
"14"	"Lance"	"Stroll"	"STR"	"Williams Mercedes"
"15"	"Stoffel"	"Vandoorne"	"VAN"	"McLaren Renault"
"16"	"Fernando"	"Alonso"	"ALO"	"McLaren Renault"
"17"	"Pierre"	"Gasly"	"GAS"	"Scuderia Toro Rosso Honda"
"18"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"19"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"20"	"Brendon"	"Hartley"	"HAR"	"Scuderia Toro Rosso Honda"
