"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"2"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"3"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"4"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"5"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"6"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"7"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"8"	"Nico"	"Hulkenberg"	"HUL"	"Renault"
"9"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"10"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"11"	"Pierre"	"Gasly"	"GAS"	"Scuderia Toro Rosso Honda"
"12"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"13"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"14"	"Daniil"	"Kvyat"	"KVY"	"Scuderia Toro Rosso Honda"
"15"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"16"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"17"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"18"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"19"	"Robert"	"Kubica"	"KUB"	"Williams Mercedes"
"20"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
