"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"4"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"5"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"6"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"7"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"8"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"9"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"10"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"11"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"12"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"13"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"14"	"Esteban"	"Ocon"	"OCO"	"Renault"
"15"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"16"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"17"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"18"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"19"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"20"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
