"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"4"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"5"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"6"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"7"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"8"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"9"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"10"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"11"	"Esteban"	"Ocon"	"OCO"	"Renault"
"12"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"13"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"14"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"15"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"16"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"17"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"18"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"19"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"20"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
