"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"4"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"5"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"6"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"7"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"8"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"9"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"10"	"Esteban"	"Ocon"	"OCO"	"Renault"
"11"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"12"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"13"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"14"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"15"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"16"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"17"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"18"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"19"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"20"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
