"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"2"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"3"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"4"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"5"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"6"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"7"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"8"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"9"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"10"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"11"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"12"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"13"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"14"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"15"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"16"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
"17"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
"18"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
"19"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"20"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
