"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"4"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"5"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"6"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"7"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"8"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"9"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"10"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"11"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"12"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"13"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"14"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"15"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"16"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"17"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"18"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
"19"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
"20"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
