"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"3"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"4"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"5"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"6"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"7"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"8"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
"9"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"10"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"11"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"12"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"13"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"14"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"15"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"16"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"17"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"18"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"19"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
"20"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
