"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"4"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"5"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"6"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"7"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"8"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
"9"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"10"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"11"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"12"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"13"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"14"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"15"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"16"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"17"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"18"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"19"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
"20"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
