"positions"	"names"
"7"	"Troy Ruttman"
"10"	"Jim Rathmann"
"5"	"Sam Hanks"
"6"	"Duane Carter"
"20"	"Art Cross"
"21"	"Jimmy Bryan"
"23"	"Jimmy Reece"
"14"	"George Connor"
"9"	"Cliff Griffith"
"31"	"Johnnie Parsons"
"3"	"Jack McGrath"
"26"	"Jim Rigsby"
"16"	"Joe James"
"15"	"Bill Schindler"
"13"	"George Fonder"
"24"	"Eddie Johnson"
"8"	"Bill Vukovich"
"11"	"Chuck Stevenson"
"12"	"Henry Banks"
"28"	"Manny Ayulo"
"33"	"Johnny McDowell"
"29"	"Spider Webb"
"22"	"Rodger Ward"
"30"	"Tony Bettenhausen"
"4"	"Duke Nalon"
"32"	"Bob Sweikert"
"1"	"Fred Agabashian"
"18"	"Gene Hartley"
"25"	"Bob Scott"
"27"	"Chet Miller"
"19"	"Alberto Ascari"
"17"	"Bobby Ball"
"2"	"Andy Linden"
