"positions"	"names"
"3"	"Mike Hawthorn"
"7"	"Luigi Musso"
"2"	"Juan Manuel Fangio"
"11"	"Roberto Mieres"
"12"	"Karl Kling"
"13"	"Paco Godia"
"20"	"Louis Rosier"
"14"	"Ken Wharton"
"15"	"Prince Bira"
"10"	"Sergio Mantovani"
"21"	"Toulo de Graffenried"
"21"	"Ottorino Volonterio"
"9"	"Hans Herrmann"
"8"	"Maurice Trintignant"
"16"	"Jacques Pollet"
"4"	"Harry Schell"
"6"	"Stirling Moss"
"18"	"Jean Behra"
"19"	"Jacques Swaters"
"1"	"Alberto Ascari"
"5"	"Luigi Villoresi"
"17"	"Robert Manzon"
""	"Peter Collins"
""	""
