"positions"	"names"
"1"	"Juan Manuel Fangio"
"9"	"Piero Taruffi"
"4"	"Eugenio Castellotti"
"6"	"Jean Behra"
"16"	"Carlos Menditeguy"
"12"	"Umberto Maglioli"
"7"	"Roberto Mieres"
"15"	"Maurice Trintignant"
"20"	"John Fitch"
"14"	"Mike Hawthorn"
"3"	"Karl Kling"
"10"	"Luigi Musso"
"21"	"Horace Gould"
"2"	"Stirling Moss"
"19"	"Jacques Pollet"
"18"	"Hermano da Silva Ramos"
"11"	"Peter Collins"
"13"	"Harry Schell"
"22"	"Jean Lucas"
"17"	"Ken Wharton"
"5"	"Nino Farina"
"8"	"Luigi Villoresi"
"<br>"	"Luigi Piotti"
