"positions"	"names"
"1"	"Juan Manuel Fangio"
"2"	"Mike Hawthorn"
"4"	"Peter Collins"
"8"	"Luigi Musso"
"7"	"Stirling Moss"
"3"	"Jean Behra"
"6"	"Harry Schell"
"10"	"Masten Gregory"
"5"	"Tony Brooks"
"13"	"Giorgio Scarlatti"
"16"	"Bruce Halford"
"12"	"Edgar Barth"
"17"	"Brian Naylor"
"20"	"Carel Godin de Beaufort"
"22"	"Tony Marsh"
"11"	"Hans Herrmann"
"15"	"Umberto Maglioli"
"14"	"Roy Salvadori"
"21"	"Paco Godia"
"9"	"Stuart Lewis-Evans"
"18"	"Jack Brabham"
"23"	"Paul England"
"24"	"Dick Gibson"
"19"	"Horace Gould"
