"positions"	"names"
"1"	"Juan Manuel Fangio"
"4"	"Tony Brooks"
"10"	"Masten Gregory"
"13"	"Stuart Lewis-Evans"
"6"	"Maurice Trintignant"
"15"	"Jack Brabham"
"9"	"Mike Hawthorn"
"9"	"Wolfgang von Trips"
"14"	"Giorgio Scarlatti"
"14"	"Harry Schell"
"11"	"Ron Flockhart"
"7"	"Carlos Menditeguy"
"16"	"Ivor Bueb"
"8"	"Harry Schell"
"12"	"Horace Gould"
"2"	"Peter Collins"
"3"	"Stirling Moss"
"5"	"Mike Hawthorn"
""	"Roy Salvadori"
""	"Hans Herrmann"
""	"Andre Simon"
""	"Luigi Piotti"
""	"Les Leston"
""	""
""	""
""	""
""	""
""	""
