"positions"	"names"
"2"	"Stirling Moss"
"1"	"Mike Hawthorn"
"5"	"Phil Hill"
"8"	"Jo Bonnier"
"10"	"Harry Schell"
"13"	"Masten Gregory"
"14"	"Roy Salvadori"
"11"	"Jack Fairman"
"18"	"Hans Herrmann"
"16"	"Cliff Allison"
"19"	"Jack Brabham"
"17"	"Gerino Gerini"
"21"	"Bruce McLaren"
"23"	"Robert La Caze"
"25"	"Andre Guelfi"
"12"	"Graham Hill"
"3"	"Stuart Lewis-Evans"
"24"	"Francois Picard"
"22"	"Tom Bridger"
"7"	"Tony Brooks"
"6"	"Olivier Gendebien"
"4"	"Jean Behra"
"20"	"Wolfgang Seidel"
"15"	"Ron Flockhart"
"9"	"Maurice Trintignant"
