"positions"	"names"
"1"	"Jack Brabham"
"7"	"Stirling Moss"
"8"	"Bruce McLaren"
"3"	"Harry Schell"
"4"	"Maurice Trintignant"
"2"	"Roy Salvadori"
"5"	"Masten Gregory"
"12"	"Alan Stacey"
"9"	"Graham Hill"
"16"	"Chris Bristow"
"21"	"Henry Taylor"
"23"	"Peter Ashdown"
"18"	"Ivor Bueb"
"6"	"Carroll Shelby"
"20"	"Fritz d'Orey"
"11"	"Ron Flockhart"
"15"	"Jack Fairman"
"10"	"Jo Bonnier"
"13"	"Ian Burgess"
"19"	"Hans Herrmann"
"22"	"David Piper"
"14"	"Brian Naylor"
"24"	"Mike Taylor"
"17"	"Tony Brooks"
"<br>"	"Keith Greene"
"<br>"	"Bill Moss"
"<br>"	"Mike Parkes"
"<br>"	"Dennis Taylor"
"<br>"	"Trevor Taylor"
"<br>"	"Tim Parnell"
